||Focal |Max.|Min.|Image |4x5in|4x5in|4x5in|4x5in|4x5 Front|4x5 Front|4x5in|Angle|Shtr|Wt.|Wt.|Filt.|Street|Center
Maker|Model|Lngth|Apert.|Apert.|Circle @|Excess|Excess|Max. Rise|Max. Rise|Tilt Deg.|Tilt Deg.|Equiv.|of|Size|(g)|(lb)|Size |Price|Filter
||(mm)|||f/22|Covg.|Cvrg %|Landscp|Portrait|Landscp|Portrait|to 35|Cvrg||||(mm)||Price
Schneider|Super-Angulon XL|47|f/5.6|f/32|166|12.3|7.41|9.35|7.71|11.25|9.32|12|120|0|310|0.68|67|$1,328.00|$364.95
Rodenstock|APO-Grandagon N (specs @ f/11)|55|f/4.5|f/45|163|9.3|5.71|7.16|5.87|7.41|6.09|14|110|0|400|0.88|67|$1,139.95|$529.95
Schneider|Super-Angulon XL|58|f/5.6|f/32|166|12.3|7.41|9.35|7.71|9.16|7.57|15|110|0|320|0.71|67|$1,144.00|$364.95
Rodenstock|Grandagon N|65|f/4.5|f/45|170|16.3|9.59|12.21|10.15|10.64|8.88|16|105|0|330|0.73|58|$1,199.00|$299.00
Nikon|Nikkor SW   (specs @ f/16)|65|f/4|f/45|170|16.3|9.59|12.21|10.15|10.64|8.88|16|105|0|370|0.82|67|$1,079.95| 
Schneider|Super-Angulon|65|f/5.6|f/45|170|16.3|9.59|12.21|10.15|10.64|8.88|16|105|0|340|0.75|67|$1,199.00|$364.95
Fuji|Fujinon SWD|65|f/5.6|?|169|15.3|9.05|11.50|9.54|10.03|8.35|16|105|0|315|0.69|67|$1,095.00| 
Schneider|Super-Angulon XL|72|f/5.6|f/45|226|72.3|31.99|47.75|42.30|33.55|30.43|18|115|0|557|1.23|95|$1,444.00|$499.95
Nikon|Nikkor SW  (specs @ f/16)|75|f/4.5|f/45|200|46.3|23.15|32.00|27.73|23.11|20.29|19|106|0|420|0.93|67|$1,229.95| 
Schneider|Super-Angulon|75|f/5.6|f/45|198|44.3|22.37|30.75|26.59|22.29|19.52|19|105|0|380|0.84|67|$1,269.00|$364.95
Fuji|Fujinon SWD|75|f/5.6|f/45|196|42.3|21.58|29.49|25.44|21.46|18.74|19|105|0|400|0.88|67|$1,225.00| 
